common_name	kingdom	phylum	class	order	family	genus	specific_epithet
Dark Fishing Spider	Animalia	Arthropoda	Arachnida	Araneae	Pisauridae	Dolomedes	tenebrosus
Six-spotted Fishing Spider	Animalia	Arthropoda	Arachnida	Araneae	Pisauridae	Dolomedes	triton
European Nursery Web spider	Animalia	Arthropoda	Arachnida	Araneae	Pisauridae	Pisaura	mirabilis
American Nursery Web Spider	Animalia	Arthropoda	Arachnida	Araneae	Pisauridae	Pisaurina	mira
Twinflagged Jumping Spider	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Anasaitis	canosa
Asiatic Wall Jumping Spider	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Attulus	fasciger
Colonus hesperus	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Colonus	hesperus
Sylvan Jumping Spider	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Colonus	sylvanus
Bronze Jumper	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Eris	militaris
Adanson's House Jumper	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Hasarius	adansoni
Bronze hopper	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Helpis	minitabunda
White-jawed Jumping Spider	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Hentzia	mitrata
Common Hentz Jumper	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Hentzia	palmarum
White banded house jumper	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Hypoblemum	griseum
Magnolia Green Jumper	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Lyssomanes	viridis
Dimorphic Jumper	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Maevia	inclemens
Fencepost jumping spider	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Marpissa	muscosa
Gray Wall Jumper	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Menemerus	bivittatus
Menemerus semilimbatus	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Menemerus	semilimbatus
Ribbon Jumping Spider	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Metacyrba	taeniola
Flea Jumper	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Naphrys	pulex
Golden Jumping Spider	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Paraphidippus	aurantius
Peppered Jumper	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Pelegrina	galathea
Bold Jumper	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Phidippus	audax
Brilliant Jumper	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Phidippus	clarus
Johnson's Jumping Spider	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Phidippus	johnsoni
Red-bellied Jumping Spider	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Philaeus	chrysops
Tan Jumping Spider	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Platycryptus	undatus
Pantropical Jumper	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Plexippus	paykulli
Zebra Jumper	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Salticus	scenicus
Buttonhook Leaf-beetle Jumping Spider	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Sassacus	vitis
Golden-brown Jumping Spider	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Trite	auricoma
Black-headed Jumping Spider	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Trite	planiceps
Brown Recluse	Animalia	Arthropoda	Arachnida	Araneae	Sicariidae	Loxosceles	reclusa
Giant Crab Spider	Animalia	Arthropoda	Arachnida	Araneae	Sparassidae	Heteropoda	venatoria
Green Huntsman Spider	Animalia	Arthropoda	Arachnida	Araneae	Sparassidae	Micrommata	virescens
Giant Crab Spider	Animalia	Arthropoda	Arachnida	Araneae	Sparassidae	Olios	giganteus
Leucauge argyra	Animalia	Arthropoda	Arachnida	Araneae	Tetragnathidae	Leucauge	argyra
Mabel Orchard Orbweaver	Animalia	Arthropoda	Arachnida	Araneae	Tetragnathidae	Leucauge	argyrobapta
Orchard Orbweaver	Animalia	Arthropoda	Arachnida	Araneae	Tetragnathidae	Leucauge	venusta
Desert Blonde Tarantula	Animalia	Arthropoda	Arachnida	Araneae	Theraphosidae	Aphonopelma	chalcodes
California Ebony Tarantula	Animalia	Arthropoda	Arachnida	Araneae	Theraphosidae	Aphonopelma	eutylenum
Texas Brown Tarantula	Animalia	Arthropoda	Arachnida	Araneae	Theraphosidae	Aphonopelma	hentzi
Desert Tarantula	Animalia	Arthropoda	Arachnida	Araneae	Theraphosidae	Aphonopelma	iodius
Common candy-striped spider	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Enoplognatha	ovata
Brown Widow	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Latrodectus	geometricus
Redback Spider	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Latrodectus	hasselti
Western Black Widow	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Latrodectus	hesperus
Katipō	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Latrodectus	katipo
Southern Black Widow	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Latrodectus	mactans
Northern Black Widow	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Latrodectus	variolus
Common House Spider	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Parasteatoda	tepidariorum
Brown House Spider	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Steatoda	capensis
False Black Widow	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Steatoda	grossa
Noble False Widow	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Steatoda	nobilis
Triangulate Comb-foot	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Steatoda	triangulosa
Goldenrod Crab Spider	Animalia	Arthropoda	Arachnida	Araneae	Thomisidae	Misumena	vatia
white-banded crab spider	Animalia	Arthropoda	Arachnida	Araneae	Thomisidae	Misumenoides	formosipes
Trapezoid Crab Spider	Animalia	Arthropoda	Arachnida	Araneae	Thomisidae	Sidymella	trapezia
Napoleon Spider	Animalia	Arthropoda	Arachnida	Araneae	Thomisidae	Synema	globosum
Flower Spider	Animalia	Arthropoda	Arachnida	Araneae	Thomisidae	Thomisus	onustus
Mediterranean Spiny False Wolf Spider	Animalia	Arthropoda	Arachnida	Araneae	Zoropsidae	Zoropsis	spinimana
Elm Finger Gall Mite	Animalia	Arthropoda	Arachnida	Endeostigmata	Eriophyidae	Aceria	parulmi
Poison Ivy Leaf Mite	Animalia	Arthropoda	Arachnida	Endeostigmata	Eriophyidae	Aculops	rhois
Willow Bead Gall Mite	Animalia	Arthropoda	Arachnida	Endeostigmata	Eriophyidae	Aculus	tetanothrix
Black Cherry Leaf Gall	Animalia	Arthropoda	Arachnida	Endeostigmata	Eriophyidae	Eriophyes	cerasicrumena
Red Nail Gall Mite	Animalia	Arthropoda	Arachnida	Endeostigmata	Eriophyidae	Eriophyes	tiliae
maple bladdergall mite	Animalia	Arthropoda	Arachnida	Endeostigmata	Eriophyidae	Vasates	quadripedes
Lone Star Tick	Animalia	Arthropoda	Arachnida	Ixodida	Ixodidae	Amblyomma	americanum
Pacific Coast Tick	Animalia	Arthropoda	Arachnida	Ixodida	Ixodidae	Dermacentor	occidentalis
American Dog Tick	Animalia	Arthropoda	Arachnida	Ixodida	Ixodidae	Dermacentor	variabilis
Western Blacklegged Tick	Animalia	Arthropoda	Arachnida	Ixodida	Ixodidae	Ixodes	pacificus
Castor Bean Tick	Animalia	Arthropoda	Arachnida	Ixodida	Ixodidae	Ixodes	ricinus
Blacklegged Tick	Animalia	Arthropoda	Arachnida	Ixodida	Ixodidae	Ixodes	scapularis
Saddleback Harvestman	Animalia	Arthropoda	Arachnida	Opiliones	Phalangiidae	Mitopus	morio
Canestrini's Harvestman	Animalia	Arthropoda	Arachnida	Opiliones	Phalangiidae	Opilio	canestrinii
European Harvestman	Animalia	Arthropoda	Arachnida	Opiliones	Phalangiidae	Phalangium	opilio
Leiobunum rotundum	Animalia	Arthropoda	Arachnida	Opiliones	Sclerosomatidae	Leiobunum	rotundum
Leiobunum townsendi	Animalia	Arthropoda	Arachnida	Opiliones	Sclerosomatidae	Leiobunum	townsendi
Eastern Harvestman	Animalia	Arthropoda	Arachnida	Opiliones	Sclerosomatidae	Leiobunum	vittatum
Arizona Bark Scorpion	Animalia	Arthropoda	Arachnida	Scorpiones	Buthidae	Centruroides	sculpturatus
Striped Bark Scorpion	Animalia	Arthropoda	Arachnida	Scorpiones	Buthidae	Centruroides	vittatus
Desert Hairy Scorpion	Animalia	Arthropoda	Arachnida	Scorpiones	Caraboctonidae	Hadrurus	arizonensis
Paravaejovis puritanus	Animalia	Arthropoda	Arachnida	Scorpiones	Vaejovidae	Paravaejovis	puritanus
Stripe-tailed Scorpion	Animalia	Arthropoda	Arachnida	Scorpiones	Vaejovidae	Paravaejovis	spinigerus
California common scorpion	Animalia	Arthropoda	Arachnida	Scorpiones	Vaejovidae	Paruroctonus	silvestrii
Western Forest Scorpion	Animalia	Arthropoda	Arachnida	Scorpiones	Vaejovidae	Uroctonus	mordax
Southern Devil Scorpion	Animalia	Arthropoda	Arachnida	Scorpiones	Vaejovidae	Vaejovis	carolinianus
Eastern Bark Centipede	Animalia	Arthropoda	Chilopoda	Scolopendromorpha	Scolopendridae	Hemiscolopendra	marginata
Mediterranean Banded Centipede	Animalia	Arthropoda	Chilopoda	Scolopendromorpha	Scolopendridae	Scolopendra	cingulata
Giant Desert Centipede	Animalia	Arthropoda	Chilopoda	Scolopendromorpha	Scolopendridae	Scolopendra	heros
Common Desert Centipede	Animalia	Arthropoda	Chilopoda	Scolopendromorpha	Scolopendridae	Scolopendra	polymorpha
House Centipede	Animalia	Arthropoda	Chilopoda	Scutigeromorpha	Scutigeridae	Scutigera	coleoptrata
Portuguese Millipede	Animalia	Arthropoda	Diplopoda	Julida	Julidae	Ommatoiulus	moreleti
Greenhouse Millipede	Animalia	Arthropoda	Diplopoda	Polydesmida	Paradoxosomatidae	Oxidus	gracilis
Black-and-gold Flat Millipede	Animalia	Arthropoda	Diplopoda	Polydesmida	Xystodesmidae	Apheloria	virginiensis
Yellow-spotted Millipede	Animalia	Arthropoda	Diplopoda	Polydesmida	Xystodesmidae	Harpaphe	haydeniana
Bumblebee Millipede	Animalia	Arthropoda	Diplopoda	Spirobolida	Rhinocricidae	Anadenobolus	monilicornis
Rusty Millipede	Animalia	Arthropoda	Diplopoda	Spirobolida	Trigoniulidae	Trigoniulus	corallinus
Pelagic Gooseneck Barnacle	Animalia	Arthropoda	Hexanauplia	Lepadiformes	Lepadidae	Lepas	anatifera
Goose Barnacle	Animalia	Arthropoda	Hexanauplia	Lepadiformes	Lepadidae	Lepas	anserifera
Goose Barnacle	Animalia	Arthropoda	Hexanauplia	Scalpelliformes	Pollicipedidae	Pollicipes	polymerus
Pacific Barnacle	Animalia	Arthropoda	Hexanauplia	Sessilia	Balanidae	Balanus	glandula
Northern Rock Barnacle	Animalia	Arthropoda	Hexanauplia	Sessilia	Balanidae	Semibalanus	balanoides
Thatched Barnacle	Animalia	Arthropoda	Hexanauplia	Sessilia	Balanidae	Semibalanus	cariosus
Pink Volcano Barnacle	Animalia	Arthropoda	Hexanauplia	Sessilia	Tetraclitidae	Tetraclita	rubescens
Cape Mountain Cockroach	Animalia	Arthropoda	Insecta	Blattodea	Blaberidae	Aptera	fusca
Banana Cockroach	Animalia	Arthropoda	Insecta	Blattodea	Blaberidae	Panchlora	nivea
Surinam Cockroach	Animalia	Arthropoda	Insecta	Blattodea	Blaberidae	Pycnoscelus	surinamensis
Oriental Cockroach	Animalia	Arthropoda	Insecta	Blattodea	Blattidae	Blatta	orientalis
American Cockroach	Animalia	Arthropoda	Insecta	Blattodea	Blattidae	Periplaneta	americana
Australian Cockroach	Animalia	Arthropoda	Insecta	Blattodea	Blattidae	Periplaneta	australasiae
Smoky-brown Cockroach	Animalia	Arthropoda	Insecta	Blattodea	Blattidae	Periplaneta	fuliginosa
Pale-bordered Field Cockroach	Animalia	Arthropoda	Insecta	Blattodea	Ectobiidae	Pseudomops	septentrionalis
Oak Timberworm	Animalia	Arthropoda	Insecta	Coleoptera	Brentidae	Arrhenodes	minutus
Emerald Ash Borer	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Agrilus	planipennis
Golden Buprestid Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Buprestis	aurulenta
Ceiba Borer Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Euchroma	giganteum
Two-lined Leatherwing	Animalia	Arthropoda	Insecta	Coleoptera	Cantharidae	Atalantycha	bilineata
Dark Sailor Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Cantharidae	Cantharis	fusca
Cantharis livida	Animalia	Arthropoda	Insecta	Coleoptera	Cantharidae	Cantharis	livida
Rustic Sailor Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Cantharidae	Cantharis	rustica
Colorado Soldier Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Cantharidae	Chauliognathus	basalis
Margined Leatherwing Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Cantharidae	Chauliognathus	marginatus
Goldenrod Soldier Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Cantharidae	Chauliognathus	pensylvanicus
Common Red Soldier Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Cantharidae	Rhagonycha	fulva
Fiery Searcher Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Calosoma	scrutator
Carabus coriaceus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Carabus	coriaceus
Granulated Ground Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Carabus	granulatus
Wood Ground-beetle	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Carabus	nemoralis
Golden-spotted Tiger Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	aurulenta
Green Tiger Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	campestris
Twelve-spotted Tiger Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	duodecimguttata
Beautiful Tiger Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	formosa
Hairy-necked Tiger Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	hirticollis
Northern Dune Tiger Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	hybrida
Boreal Long-lipped Tiger Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	longilabris
Ocellated Tiger Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	ocellata
Oregon Tiger Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	oregona
Backroad Tiger Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	punctulata
Purple Tiger Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	purpurea
Bronzed Tiger Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	repanda
Festive Tiger Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	scutellaris
Six-spotted Tiger Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	sexguttata
Oblique-lined Tiger Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	tranquebarica
S-banded Tiger Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cicindela	trifasciata
Strawberry Seed Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Harpalus	rufipes
Narrow-collared Snail-eating Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Scaphinotus	angusticollis
Big-headed Ground Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Scarites	subterraneus
Carolina Metallic Tiger Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Tetracha	carolina
Golden-bloomed Longhorn	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Agapanthia	villosoviridescens
Analeptura lineola	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Analeptura	lineola
Musk beetle	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Aromia	moschata
Capricorn beetle	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Cerambyx	scopolii
Wasp Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Clytus	arietis
Round-necked Longhorn Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Clytus	ruricola
Long-jawed Longhorn Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Dendrobias	mandibularis
Elderberry Borer	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Desmocerus	palliatus
Ivory-marked Borer	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Eburia	quadrigeminata
Spined Oak Borer	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Elaphidion	mucronatum
Banded Graphisurus	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Graphisurus	fasciatus
Banded Hickory Borer	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Knulliana	cincta
four-banded longhorn beetle	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Leptura	quadrifasciata
Yellow Velvet Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Lepturobosca	chrysocoma
Hardwood Stump Borer	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Mallodon	dasystomus
Locust Borer	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Megacyllene	robiniae
Spotted Pine Sawyer	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Monochamus	clamator
Northeastern Pine Sawyer	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Monochamus	notatus
White-spotted Sawyer	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Monochamus	scutellatus
Morimus asper	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Morimus	asper
Red-headed Ash Borer	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Neoclytus	acuminatus
Brown Prionid	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Orthosoma	brunneum
Cottonwood Borer	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Plectrodera	scalator
Huhu	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Prionoplus	reticularis
California Prionus	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Prionus	californicus
The Tanner	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Prionus	coriarius
Tile-horned Prionus	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Prionus	imbricornis
Broad-necked Root Borer	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Prionus	laticollis
Fairy-ring Longhorn Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Pseudovadonia	livida
Ribbed Pine Borer	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Rhagium	inquisitor
Blackspotted Longhorn Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Rhagium	mordax
Banded Alder Borer	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Rosalia	funebris
Spotted Longhorn	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Rutpela	maculata
Double-banded Bycid	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Sphaenothecus	bilineatus
Black-striped Longhorn Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Stenurella	melanura
Red-shouldered Pine Borer	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Stictoleptura	canadensis
Red Pine Longhorn	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Stictoleptura	rubra
Strangalepta Flower Longhorn	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Strangalepta	abbreviata
Yellow-horned Lepture	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Strangalia	luteicornis
Red-femured Milkweed Borer	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Tetraopes	femoratus
Eastern Milkweed Longhorn Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Tetraopes	tetrophthalmus
